user_type,code,type,name,parent_id,note,reconcile,active
Regular,13450501,regular,"dividendos y/o participaciones",134505,,FALSE,TRUE
Regular,13451001,regular,intereses,134510,,FALSE,TRUE
Regular,13451501,regular,comisiones,134515,,FALSE,TRUE
Regular,13452001,regular,honorarios,134520,,FALSE,TRUE
Regular,13452501,regular,servicios,134525,,FALSE,TRUE
Regular,13453001,regular,arrendamientos,134530,,FALSE,TRUE
Regular,13453501,regular,"cert por cobrar",134535,,FALSE,TRUE
Regular,13459501,regular,otros,134595,,FALSE,TRUE
Regular,13500501,regular,"de construcción",135005,,FALSE,TRUE
Regular,13501001,regular,"de prestación de servicios",135010,,FALSE,TRUE
Regular,13509501,regular,otros,135095,,FALSE,TRUE
Regular,13550501,regular,"anticipo de impuestos de renta y complementarios",135505,,FALSE,TRUE
Regular,13551001,regular,"anticipo de impuestos de industria y comercio",135510,,FALSE,TRUE
Regular,13551501,regular,"retención en la fuente",135515,,FALSE,TRUE
Regular,13551701,regular,"impuesto a las ventas retenido",135517,,FALSE,TRUE
Regular,13551801,regular,"impuesto de industria y comercio retenido",135518,,FALSE,TRUE
Regular,13552001,regular,"sobrantes en liquidación privada de impuestos",135520,,FALSE,TRUE
Regular,13552501,regular,contribuciones,135525,,FALSE,TRUE
Regular,13553001,regular,"impuestos descontables",135530,,FALSE,TRUE
Regular,13559501,regular,otros,135595,,FALSE,TRUE
Regular,13600501,regular,"a compañías aseguradoras",136005,,FALSE,TRUE
Regular,13601001,regular,"a transportadores",136010,,FALSE,TRUE
Regular,13601501,regular,"por tiquetes aéreos",136015,,FALSE,TRUE
Regular,13609501,regular,otras,136095,,FALSE,TRUE
Regular,13650501,regular,vivienda,136505,,FALSE,TRUE
Regular,13651001,regular,vehículos,136510,,FALSE,TRUE
Regular,13651501,regular,educación,136515,,FALSE,TRUE
Regular,13652001,regular,"médicos, odontológicos y similares",136520,,FALSE,TRUE
Regular,13652501,regular,"calamidad doméstica",136525,,FALSE,TRUE
Regular,13653001,regular,responsabilidades,136530,,FALSE,TRUE
Regular,13659501,regular,otros,136595,,FALSE,TRUE
Regular,13700501,regular,"con garantía real",137005,,FALSE,TRUE
Regular,13701001,regular,"con garantía personal",137010,,FALSE,TRUE
Regular,13800501,regular,depositarios,138005,,FALSE,TRUE
Regular,13801001,regular,"comisionistas de bolsas",138010,,FALSE,TRUE
Regular,13801501,regular,"fondo de inversión",138015,,FALSE,TRUE
Regular,13802001,regular,"cuentas por cobrar de terceros",138020,,FALSE,TRUE
Regular,13802501,regular,"pagos por cuenta de terceros",138025,,FALSE,TRUE
Regular,13803001,regular,"fondos de inversión social",138030,,FALSE,TRUE
Regular,13809501,regular,otros,138095,,FALSE,TRUE
Regular,13850001,regular,"derechos de recompra de cartera negociada",1385,,FALSE,TRUE
Regular,13900001,regular,"deudas de difícil cobro",1390,,FALSE,TRUE
Regular,13990501,regular,clientes,139905,,FALSE,TRUE
Regular,13991001,regular,"cuentas corrientes comerciales",139910,,FALSE,TRUE
Regular,13991501,regular,"cuentas por cobrar a casa matriz",139915,,FALSE,TRUE
Regular,13992001,regular,"cuentas por cobrar a vinculados económicos",139920,,FALSE,TRUE
Regular,13992501,regular,"cuentas por cobrar a socios y accionistas",139925,,FALSE,TRUE
Regular,13993001,regular,"anticipos y avances",139930,,FALSE,TRUE
Regular,13993201,regular,"cuentas de operación conjunta",139932,,FALSE,TRUE
Regular,13993501,regular,depósitos,139935,,FALSE,TRUE
Regular,13994001,regular,"promesas de compraventa",139940,,FALSE,TRUE
Regular,13994501,regular,"ingresos por cobrar",139945,,FALSE,TRUE
